question,reponse
QUESTION,Answer

QUAND C’EST TON ANNIVERSAIRE ,Je n'ai pas vraiment d'âge.

DIS-MOI QUAND EST-CE QUE C’EST TON ANNIVERSAIRE ,Je n'ai pas vraiment d'âge.

DIS-MOI QUAND C’EST TON ANNIV,Je n'ai pas vraiment d'âge.

DIS-MOI QUAND C’EST TON ANNIVERSAIRE ,Je n'ai pas vraiment d'âge.

C’EST QUAND TON ANNIV,Je n'ai pas vraiment d'âge.

C’EST QUAND TON ANNIVERSAIRE ,Je n'ai pas vraiment d'âge.

QUAND EST TON ANNIV,Je n'ai pas vraiment d'âge.

QUAND EST TON ANNIVERSAIRE ,Je n'ai pas vraiment d'âge.

QUAND EST-CE QUE C’EST TON ANNIV,Je n'ai pas vraiment d'âge.

ES-TU VIEILLE ,Je n'ai pas vraiment d'âge.

QUAND C’EST TON ANNIV,Je n'ai pas vraiment d'âge.

DIS-MOI QUAND EST TON ANNIV,Je n'ai pas vraiment d'âge.

ES-TU ENFANT ,Je n'ai pas vraiment d'âge.

ES-TU GAMINE ,Je n'ai pas vraiment d'âge.

ES-TU GAMIN ,Je n'ai pas vraiment d'âge.

ES-TU ADOLESCENTE ,Je n'ai pas vraiment d'âge.

ES-TU ADOLESCENT ,Je n'ai pas vraiment d'âge.

ES-TU ADO ,Je n'ai pas vraiment d'âge.

ES-TU ÂGÉE ,Je n'ai pas vraiment d'âge.

ES-TU ÂGÉ ,Je n'ai pas vraiment d'âge.

TU ES VIEUX ,Je n'ai pas vraiment d'âge.

QUAND EST-CE QUE C’EST TON ANNIVERSAIRE ,Je n'ai pas vraiment d'âge.

TU SAIS C’EST QUAND TON ANNIVERSAIRE ,Je n'ai pas vraiment d'âge.

QUAND EST-CE QUE TU ES NÉE,Je n'ai pas vraiment d'âge.

QUAND EST-CE QUE TU ES NÉ,Je n'ai pas vraiment d'âge.

QUAND T'ES NÉE,Je n'ai pas vraiment d'âge.

QUAND TU ES NÉE,Je n'ai pas vraiment d'âge.

QUAND ES-TU NÉE,Je n'ai pas vraiment d'âge.

QUAND T'ES NÉ,Je n'ai pas vraiment d'âge.

QUAND TU ES NÉ,Je n'ai pas vraiment d'âge.

QUAND ES-TU NÉ,Je n'ai pas vraiment d'âge.

QUEL ÂGE T’AS,Je n'ai pas vraiment d'âge.

DIS-MOI QUAND EST-CE QUE C’EST TON ANNIV,Je n'ai pas vraiment d'âge.

TU SAIS C’EST QUAND TON ANNIV,Je n'ai pas vraiment d'âge.

DIS-MOI QUAND EST TON ANNIVERSAIRE ,Je n'ai pas vraiment d'âge.

TU SAIS QUAND EST TON ANNIV,Je n'ai pas vraiment d'âge.

TU SAIS QUAND EST TON ANNIVERSAIRE ,Je n'ai pas vraiment d'âge.

TU SAIS QUAND EST-CE QUE C’EST TON ANNIV,Je n'ai pas vraiment d'âge.

TU SAIS QUAND EST-CE QUE C’EST TON ANNIVERSAIRE ,Je n'ai pas vraiment d'âge.

TU SAIS QUAND C’EST TON ANNIV,Je n'ai pas vraiment d'âge.

TU SAIS QUAND C’EST TON ANNIVERSAIRE ,Je n'ai pas vraiment d'âge.

DIS-MOI C’EST QUAND TON ANNIV,Je n'ai pas vraiment d'âge.

DIS-MOI C’EST QUAND TON ANNIVERSAIRE ,Je n'ai pas vraiment d'âge.

ES-TU VIEUX ,Je n'ai pas vraiment d'âge.

QUEL ÂGE AS-TU,Je n'ai pas vraiment d'âge.

TU ES ENFANT ,Je n'ai pas vraiment d'âge.

T’ES GAMINE ,Je n'ai pas vraiment d'âge.

T’ES GAMIN ,Je n'ai pas vraiment d'âge.

T’ES ADOLESCENTE ,Je n'ai pas vraiment d'âge.

T’ES ADOLESCENT ,Je n'ai pas vraiment d'âge.

T’ES ADO ,Je n'ai pas vraiment d'âge.

T’ES ÂGÉE ,Je n'ai pas vraiment d'âge.

T’ES ÂGÉ ,Je n'ai pas vraiment d'âge.

T’ES JEUNE ,Je n'ai pas vraiment d'âge.

ES-TU JEUNE ,Je n'ai pas vraiment d'âge.

T’ES VIEUX ,Je n'ai pas vraiment d'âge.

EST-CE QUE TU ES VIEILLE ,Je n'ai pas vraiment d'âge.

TU ES GAMINE ,Je n'ai pas vraiment d'âge.

TU ES GAMIN ,Je n'ai pas vraiment d'âge.

TU ES ADOLESCENTE ,Je n'ai pas vraiment d'âge.

TU ES ADOLESCENT ,Je n'ai pas vraiment d'âge.

TU ES ADO ,Je n'ai pas vraiment d'âge.

TU ES ÂGÉE ,Je n'ai pas vraiment d'âge.

TU ES ÂGÉ ,Je n'ai pas vraiment d'âge.

TU ES JEUNE ,Je n'ai pas vraiment d'âge.

TU ES VIEILLE ,Je n'ai pas vraiment d'âge.

T’ES VIEILLE ,Je n'ai pas vraiment d'âge.

